CategoryName	CategoryType	CounterName	CounterType
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=020000ms & <050000ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=020000ms & <050000ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=050000ms & <100000ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=050000ms & <100000ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=050000ms & <100000ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=050000ms & <100000ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=100000ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=100000ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=100000ms	NumberOfItems64
｟SqlServerName｠:Batch Resp Statistics	MultiInstance	Batches >=100000ms	NumberOfItems64
｟SqlServerName｠:Buffer Manager	SingleInstance	Page life expectancy	NumberOfItems64
｟SqlServerName｠:Databases	MultiInstance	Log File(s) Size (KB)	NumberOfItems64
｟SqlServerName｠:Databases	MultiInstance	Log File(s) Used Size (KB)	NumberOfItems64
｟SqlServerName｠:Databases	MultiInstance	Percent Log Used	NumberOfItems64
｟SqlServerName｠:Transactions	SingleInstance	Free Space in tempdb (KB)	NumberOfItems64
